Start source_only c6->c4 seed=44 init_sha256=89dfa364cd019ad173319c7a8f775c661ec83f1938e80b69a1848714796075c4
source_only epoch=33/50 source_MSE=142.688223 gram=0.000000 source_order_sha256=0eb1804a2dbcd64afa1c7cfe22eff0def5e444a40ef3a7bc30bbb1167608fd91 target_unique=0
source_only epoch=34/50 source_MSE=128.031261 gram=0.000000 source_order_sha256=57b75c4082570155702a684f516fd0f1b6b0bc090f81d4d175c738e36d3f9a7c target_unique=0
source_only epoch=35/50 source_MSE=73.954363 gram=0.000000 source_order_sha256=719a401b4e74a3a2e427da255f507743b77e550e34c9410f57b9e129e8cf3d80 target_unique=0
source_only epoch=36/50 source_MSE=81.112988 gram=0.000000 source_order_sha256=0faa198d53a6e97178d4db2e1430bec3b859cb58bac53ab3c0421aa264f4ff63 target_unique=0
source_only epoch=37/50 source_MSE=71.672750 gram=0.000000 source_order_sha256=18f168ed60342aae13340285db598369fdb37ad3e7282d2d8aed149620ef5ee5 target_unique=0
source_only epoch=38/50 source_MSE=51.809314 gram=0.000000 source_order_sha256=777e0afb2f89f539c49283805b41fff13cded9522df0fe0cf3dce6e13bd6883a target_unique=0
source_only epoch=39/50 source_MSE=32.954597 gram=0.000000 source_order_sha256=e61f1a07c527242059de0223d97a1599158e32ecadb43d33b0c1608c7a535230 target_unique=0
source_only epoch=40/50 source_MSE=43.562019 gram=0.000000 source_order_sha256=feefeb0c6281d3cf4c56116b93aafeeedcc9eb0b7c1182af3b83a3bbddd291c0 target_unique=0
source_only epoch=41/50 source_MSE=59.969139 gram=0.000000 source_order_sha256=da39e997627fd9df15e35f453ee5afc648418a6e2e5b43be7f6a0d3d85778615 target_unique=0
source_only epoch=42/50 source_MSE=44.509844 gram=0.000000 source_order_sha256=86a04d9ecafc9ea121a41b1fc57cbe2b4803235922772183f6c093397395e72b target_unique=0
source_only epoch=43/50 source_MSE=43.494633 gram=0.000000 source_order_sha256=43938ced2426fc5b171f3f093562d9e44ab35152ce2e8599df6a101b4a24e7f3 target_unique=0
source_only epoch=44/50 source_MSE=17.374047 gram=0.000000 source_order_sha256=980c3b10764cfe66bd75d55694b18d6228528012da2c04821f9724905356bb8f target_unique=0
source_only epoch=45/50 source_MSE=40.861275 gram=0.000000 source_order_sha256=237ee7c8cb3463980d67fb4e2ce4ee168d6fe92902602fa8c9a0d20755c0754b target_unique=0
source_only epoch=46/50 source_MSE=24.146259 gram=0.000000 source_order_sha256=bf28b1ffddd77c42143a382643f655ea9fd8519980f940abda893793edb32d6b target_unique=0
source_only epoch=47/50 source_MSE=38.346947 gram=0.000000 source_order_sha256=a1269fc3ab53234a64756ce67a14521ef4043e6ed3a802b2fd8469015902b660 target_unique=0
source_only epoch=48/50 source_MSE=33.773926 gram=0.000000 source_order_sha256=113f46106983c073d92c17f0c31b3b6733bd68a8e7b02b9a85e8bc435614e3a5 target_unique=0
source_only epoch=49/50 source_MSE=53.130951 gram=0.000000 source_order_sha256=02879090ebe325b33e9efff035dd12e9259b3c2645620fe3d977511325887cc1 target_unique=0
source_only epoch=50/50 source_MSE=54.752698 gram=0.000000 source_order_sha256=9e96f322765122531801b69ea9eb5473d8e580d44633423ff353d2d37c6aae0e target_unique=0
Saved final epoch checkpoint: artifacts\norm_comparison_20260925\minmax\c6_to_c4\seed_44\source_only\final.pth
