Start daregram c4->c6 seed=43 init_sha256=96faf07f9c746309bc7074a67eb7c81d643a13c859613ef4c885efa350234658
daregram epoch=1/50 source_MSE=10975.433203 gram=8.688201 source_order_sha256=539e80195b2f14026ec86d86537d720b6d259565890ee2e531527dc0fa123cb1 target_unique=315
daregram epoch=2/50 source_MSE=9743.939648 gram=27.850088 source_order_sha256=d6ef35ea5b7a94352550a780913a54e3c247002e2872fc027e7f9d55bc205bbb target_unique=315
daregram epoch=3/50 source_MSE=9075.217578 gram=38.807386 source_order_sha256=7afb4552282d8c8fa0c8e75fbf952fd6de5c6cd88e7e8cb31b12207a0fc7f494 target_unique=315
daregram epoch=4/50 source_MSE=8483.210547 gram=34.683358 source_order_sha256=fa178434bc9deecfee6405aef03b8291afa7415ec358855f05ea45102e81ad8d target_unique=315
daregram epoch=5/50 source_MSE=7878.341699 gram=65.875016 source_order_sha256=5e164424c6e68214a39cabc634757f9cf4891255e93455eec44d3a4daa8268d2 target_unique=315
daregram epoch=6/50 source_MSE=7275.439551 gram=14.259815 source_order_sha256=54014b36755c60cc5ed4c70b88ff4424d7f3399b25fee900dd9219bdd8d01ccf target_unique=315
daregram epoch=7/50 source_MSE=6662.517383 gram=40.934600 source_order_sha256=c11bf88820e7a58c1abdcf342b0065e659924b3c315efb167ce15b652a661157 target_unique=315
daregram epoch=8/50 source_MSE=6093.318945 gram=35.167384 source_order_sha256=4181dfb43f992c4a06146e9614d0cbfd198a5ccad2b05553393e570fd2d31e7c target_unique=315
daregram epoch=9/50 source_MSE=5517.390430 gram=65.384370 source_order_sha256=bfa578d5160e2ee400e2951c7a467294fbef2735ad25f7d9269abb2d54998854 target_unique=315
daregram epoch=10/50 source_MSE=4941.941846 gram=75.539569 source_order_sha256=f9df6b54e1710902e7dc7a8407f5e0235665a9adcd05d0cb5774167618d58497 target_unique=315
daregram epoch=11/50 source_MSE=4324.373633 gram=79.544691 source_order_sha256=6f2bd76d1350f6b6223394f66332f99a5c081f9244049edc16386e8a06040741 target_unique=315
daregram epoch=12/50 source_MSE=3779.733887 gram=51.602883 source_order_sha256=b823650a7f7cf5754b70ff64bc7e0c76990beeedc54e5bd53616c69077afe061 target_unique=315
daregram epoch=13/50 source_MSE=3284.112988 gram=33.742722 source_order_sha256=05f8cbe1caba7add07418c70d86e955749da48365a99b3b04e531098b9c71a96 target_unique=315
daregram epoch=14/50 source_MSE=2768.743848 gram=65.626099 source_order_sha256=12667572e52c498d3dbad9da7dfb9a7cda196484d7521bdc0eb6e896c750924f target_unique=315
daregram epoch=15/50 source_MSE=2334.744946 gram=42.793234 source_order_sha256=3d283f07188e66796b78c70effdc331fef857ffc14a83082a449b9d9b183c1e3 target_unique=315
daregram epoch=16/50 source_MSE=1878.653882 gram=27.807674 source_order_sha256=bf61d05d1aa558b80d1841039e50cdedf9454e17304f9ea67b3224e2c8ee2d06 target_unique=315
daregram epoch=17/50 source_MSE=1491.197803 gram=32.143704 source_order_sha256=14b8f93bfe6644a7ac9d008caf65be69c693bcd19c3920c3a4aeed65e50fcb44 target_unique=315
daregram epoch=18/50 source_MSE=1198.756360 gram=30.835752 source_order_sha256=8fd60e1de19d5f1849ec5e7195d5b81eb6acf0db952647c04be6e6401944f1b6 target_unique=315
daregram epoch=19/50 source_MSE=955.892322 gram=25.846060 source_order_sha256=8c7ad184b28f1a1d62a29481d69313bc76c48032d383b46cbda4f5b745daafc2 target_unique=315
