Start daregram c6->c4 seed=46 init_sha256=f7a36f8ae49613bd5ba814e2562826bc0ad4fcc2564cc749136e9ff2fb9b7b48
daregram epoch=1/50 source_MSE=17385.260547 gram=8.789134 source_order_sha256=b43c0eef61b4e2937159fac825ec4b0f0a309d4960d906437b9a519e6314dc6c target_unique=315
daregram epoch=2/50 source_MSE=15862.903516 gram=28.680634 source_order_sha256=99e91673c9feab027e5126b8302b20895d3ffde1bdf83be9302a3f9bbe93e08d target_unique=315
daregram epoch=3/50 source_MSE=15009.200000 gram=36.789252 source_order_sha256=b65fc12cba49c982d9ecf9f0a10a1d9b4d81386d3493ee99fbfd30c2031e7f73 target_unique=315
daregram epoch=4/50 source_MSE=14208.540234 gram=23.669297 source_order_sha256=76b9ee75936b122b271363d3028f0f88b807f9128d5adfb560251ceb86065543 target_unique=315
daregram epoch=5/50 source_MSE=13457.671094 gram=50.693918 source_order_sha256=99490cea6e8182bf6b503954a78f1bd1a2f2b575a3e5d4238faacfc93c13b5db target_unique=315
daregram epoch=6/50 source_MSE=12651.905469 gram=30.179507 source_order_sha256=9200796bb2ff3431788082628225880b3cb77c9db57c8ea477b074826ecd2f81 target_unique=315
daregram epoch=7/50 source_MSE=11897.701953 gram=65.565851 source_order_sha256=ffd15ac5dc21321afdb33089fb78b037f6c07b87fc26288aab398b36803673e7 target_unique=315
daregram epoch=8/50 source_MSE=11192.253320 gram=84.790910 source_order_sha256=d18275e177651f2a0cfa59d892caae0b63cb0ffe768fa4adb74d975e4020b2dd target_unique=315
daregram epoch=9/50 source_MSE=10303.012891 gram=56.962621 source_order_sha256=43ddd19b9d661c67110dc98bec5d479bde043466f0fbfb11c654e30a67daeac1 target_unique=315
daregram epoch=10/50 source_MSE=9504.812305 gram=75.734940 source_order_sha256=7a4972e352e43835d81aeed873faf0ac2790b55f82b1d7c27898fe428cdba1e3 target_unique=315
daregram epoch=11/50 source_MSE=8688.566406 gram=91.664351 source_order_sha256=2ab7187c2d4e00df75fc341597f0517fcb609530715f718a3aad71c6c62d4d30 target_unique=315
daregram epoch=12/50 source_MSE=7882.028711 gram=46.286039 source_order_sha256=7ee0eb021dd01bb796044e1c09a819d5708f61f8c4a5539cd750793289a26533 target_unique=315
daregram epoch=13/50 source_MSE=7175.823730 gram=89.380755 source_order_sha256=1231b54c2d6a872464c797107d5b2e0d845a3ea620a9503768c83af4d80b1c61 target_unique=315
daregram epoch=14/50 source_MSE=6286.967090 gram=45.417915 source_order_sha256=649ac453467c96e6fc1e6d99943847f91d89e1dfbfdf7b9cf37ffb42a43a41b3 target_unique=315
daregram epoch=15/50 source_MSE=5508.589648 gram=30.777329 source_order_sha256=410d3dda655a7be694b54a1a11493bd0b89bec4c745ec41b734e4589201ab1b5 target_unique=315
daregram epoch=16/50 source_MSE=4847.328418 gram=28.129174 source_order_sha256=0ac6f08bde12fa9a2315b46c83641b67a18abd8bffa3274a278dd14105c4d693 target_unique=315
daregram epoch=17/50 source_MSE=4186.713965 gram=33.722041 source_order_sha256=111b7de9d98b7af19c9f4b58383915a9a55997608b8be63c5e20f3fa330aa482 target_unique=315
daregram epoch=18/50 source_MSE=3580.166357 gram=79.211061 source_order_sha256=ffe7bdf1ce33eb0083ff6d7f42c7be92446e35f131000d9e994ed3e0d758af39 target_unique=315
daregram epoch=19/50 source_MSE=3026.670605 gram=76.388997 source_order_sha256=2254d17d8c587d2b097559fe5156cea351b68f51c1017478c9b5b8dc90fc0b14 target_unique=315
daregram epoch=20/50 source_MSE=2532.255859 gram=56.678126 source_order_sha256=f415c568d7d8db59303b85bfc817155a0be2ec283477f75e6575a8a527900996 target_unique=315
daregram epoch=21/50 source_MSE=2120.473022 gram=37.372672 source_order_sha256=3c8e5dbaf39e7632bfe9fee296bc172ef601d4c6294279dfbea7cffa9328218a target_unique=315
daregram epoch=22/50 source_MSE=1695.165332 gram=47.587103 source_order_sha256=ac294e251312176d0d40ea54d93a54b42495502bcb04312071358c24f1bb1a46 target_unique=315
daregram epoch=23/50 source_MSE=1415.064917 gram=62.631518 source_order_sha256=eef9fba928cc56b40a2300963870f7c73b6af65b48a7030977e935a1efa896cb target_unique=315
daregram epoch=24/50 source_MSE=1167.518665 gram=63.118932 source_order_sha256=7245b6a266109d661c0552fb0d5afab1d7f986283023c37b5087b06d5609f586 target_unique=315
