Start source_only c6->c1 seed=42 init_sha256=791e81a865208ac373d2a6f5c599e792686145eddafbc4ef215d7b4890f983ae
source_only epoch=1/50 source_MSE=17188.327930 gram=0.000000 source_order_sha256=f7e5f6417103e5ca68ef584f38668fd3d874641c1e8bc1b036eaec76768ac73e target_unique=0
source_only epoch=2/50 source_MSE=15619.647656 gram=0.000000 source_order_sha256=64b9b4851c74b41d759a3892498426b49e0172749be98a198f4d285c09242fcc target_unique=0
source_only epoch=3/50 source_MSE=14717.170898 gram=0.000000 source_order_sha256=eb7136700c2d72f489c3526a9ee4d3209f799e6e93db45104359d02ca98d9b38 target_unique=0
source_only epoch=4/50 source_MSE=13881.164453 gram=0.000000 source_order_sha256=0db26a257ca3af38a60b1338a50459d228a74c0ae394c0f0204197a9d30a89bb target_unique=0
source_only epoch=5/50 source_MSE=13071.916602 gram=0.000000 source_order_sha256=7aa8f243330a0d837479f6c7c9100d97a268589b44cf32c2304761bdf16b2be0 target_unique=0
source_only epoch=6/50 source_MSE=12260.835938 gram=0.000000 source_order_sha256=f01faf5b98eec067f60c9a567f0890166e6bb1b6076e301ccbd6e58d235f9ba4 target_unique=0
source_only epoch=7/50 source_MSE=11469.698633 gram=0.000000 source_order_sha256=0f8cd8079fc23095d59c7884672afb3e7302dd5831da8999e5dc31bdf743cb49 target_unique=0
source_only epoch=8/50 source_MSE=10685.228516 gram=0.000000 source_order_sha256=9b7fe8d6a87fee5cbc0d3962dbb62dbff0eda5db74243f3225f45c6aa189ad09 target_unique=0
source_only epoch=9/50 source_MSE=9863.878125 gram=0.000000 source_order_sha256=e926657a4d8b506e708196792c99b9e049ad3bc6684c8d4a5d4ee706a3bf57c3 target_unique=0
source_only epoch=10/50 source_MSE=9074.591992 gram=0.000000 source_order_sha256=f2ddf2cd913378c6fa47073cf0949108064eb4006caeb359e0c85f8ef197689b target_unique=0
source_only epoch=11/50 source_MSE=8268.191699 gram=0.000000 source_order_sha256=3c2b4b9d9ffd98eaa0475619dc97dba13e4635d76e1e463c8bea989829b40377 target_unique=0
source_only epoch=12/50 source_MSE=7517.353320 gram=0.000000 source_order_sha256=24b861692f5a5240a4779d0bb7536d71887aac26a181d500533029d14de572be target_unique=0
source_only epoch=13/50 source_MSE=6729.177246 gram=0.000000 source_order_sha256=8e8e44826057fa2f9271298c21ac725195d8f93d942619657b406c4460f43054 target_unique=0
source_only epoch=14/50 source_MSE=6014.624023 gram=0.000000 source_order_sha256=c81b6a78ff9fb15fcf5533f2d54abab619245a242069fd90e9f1393f2dde7db1 target_unique=0
source_only epoch=15/50 source_MSE=5244.456348 gram=0.000000 source_order_sha256=3a3db6790cca59fb5747496e05e82d0817b24991edf1a96151390fba726b81d9 target_unique=0
source_only epoch=16/50 source_MSE=4656.538086 gram=0.000000 source_order_sha256=ae048ca8d4d9078e04c3b1c13dd1ef4ac03ef2a41881c149b529b965fb47aff0 target_unique=0
source_only epoch=17/50 source_MSE=3913.671387 gram=0.000000 source_order_sha256=fc199ff01745c1b2d1f5c06b562215e92a37f209dbb17b1d6afdb03d9618473d target_unique=0
source_only epoch=18/50 source_MSE=3371.832910 gram=0.000000 source_order_sha256=0b62b5fa55c8232a21fe728737f17a3968bcd6fbed3cd6411ac959987aff45eb target_unique=0
source_only epoch=19/50 source_MSE=2804.311401 gram=0.000000 source_order_sha256=ca2c684c574d1efb2eb5667a39bc3ede35303448dd29b9a1b94d7623211e6049 target_unique=0
source_only epoch=20/50 source_MSE=2287.841333 gram=0.000000 source_order_sha256=73dd8af7adaab447fead16f8c6f2f4ba37ae6f94f14fd09b2ec9b0c8ada7cbe7 target_unique=0
source_only epoch=21/50 source_MSE=1903.058838 gram=0.000000 source_order_sha256=2451c05c9f331a3c67d6dfd00e40c5350c100c24af7069a47db4fd01fa57d6a6 target_unique=0
