Start norm=minmax c1->c6 seed=46
Start source_only c1->c6 seed=46 init_sha256=f7a36f8ae49613bd5ba814e2562826bc0ad4fcc2564cc749136e9ff2fb9b7b48
source_only epoch=1/50 source_MSE=11645.945508 gram=0.000000 source_order_sha256=b43c0eef61b4e2937159fac825ec4b0f0a309d4960d906437b9a519e6314dc6c target_unique=0
source_only epoch=2/50 source_MSE=10500.341602 gram=0.000000 source_order_sha256=99e91673c9feab027e5126b8302b20895d3ffde1bdf83be9302a3f9bbe93e08d target_unique=0
source_only epoch=3/50 source_MSE=9853.738672 gram=0.000000 source_order_sha256=b65fc12cba49c982d9ecf9f0a10a1d9b4d81386d3493ee99fbfd30c2031e7f73 target_unique=0
source_only epoch=4/50 source_MSE=9249.205078 gram=0.000000 source_order_sha256=76b9ee75936b122b271363d3028f0f88b807f9128d5adfb560251ceb86065543 target_unique=0
source_only epoch=5/50 source_MSE=8668.642969 gram=0.000000 source_order_sha256=99490cea6e8182bf6b503954a78f1bd1a2f2b575a3e5d4238faacfc93c13b5db target_unique=0
source_only epoch=6/50 source_MSE=8058.835059 gram=0.000000 source_order_sha256=9200796bb2ff3431788082628225880b3cb77c9db57c8ea477b074826ecd2f81 target_unique=0
source_only epoch=7/50 source_MSE=7461.783594 gram=0.000000 source_order_sha256=ffd15ac5dc21321afdb33089fb78b037f6c07b87fc26288aab398b36803673e7 target_unique=0
source_only epoch=8/50 source_MSE=6878.360449 gram=0.000000 source_order_sha256=d18275e177651f2a0cfa59d892caae0b63cb0ffe768fa4adb74d975e4020b2dd target_unique=0
source_only epoch=9/50 source_MSE=6270.879687 gram=0.000000 source_order_sha256=43ddd19b9d661c67110dc98bec5d479bde043466f0fbfb11c654e30a67daeac1 target_unique=0
source_only epoch=10/50 source_MSE=5639.016992 gram=0.000000 source_order_sha256=7a4972e352e43835d81aeed873faf0ac2790b55f82b1d7c27898fe428cdba1e3 target_unique=0
