Start source_only c1->c6 seed=44 init_sha256=89dfa364cd019ad173319c7a8f775c661ec83f1938e80b69a1848714796075c4
source_only epoch=1/50 source_MSE=11665.268555 gram=0.000000 source_order_sha256=59bfcbf6051bd926f7f3785471f455c49b4b10a74bfe01e32c1d67682c63dc4f target_unique=0
source_only epoch=2/50 source_MSE=10522.047070 gram=0.000000 source_order_sha256=0ac560bfcb444211037a9a7d59aed95f3919c2bf54a14d9e4145b228437420d4 target_unique=0
source_only epoch=3/50 source_MSE=9872.497852 gram=0.000000 source_order_sha256=db748945ab47cb5cfa2e71f3bc2d7299e7541c35081174abd78d403135977eba target_unique=0
source_only epoch=4/50 source_MSE=9254.991797 gram=0.000000 source_order_sha256=1582ef3106a15a344390e2abd10ca5ed8f72a4d37449c7babee3238f7547edb4 target_unique=0
source_only epoch=5/50 source_MSE=8654.572168 gram=0.000000 source_order_sha256=080734e2c6419fa2f45cb3fc366d77af252f8393ff69cff18e66ee20946a75bc target_unique=0
source_only epoch=6/50 source_MSE=8022.009570 gram=0.000000 source_order_sha256=a66d204c747a526a7505a23383f5a424406aafe9772c33b27211e085c531231e target_unique=0
source_only epoch=7/50 source_MSE=7451.135449 gram=0.000000 source_order_sha256=cf51679d1d44835535bf8ed948dcb3bd8c77bffe971c9c54c8e3fdd1b7c03558 target_unique=0
source_only epoch=8/50 source_MSE=6819.857324 gram=0.000000 source_order_sha256=47f50d37548c2abcb38aeb5d81933b5268f60e6dfc5152c19eb8afa9422fef89 target_unique=0
source_only epoch=9/50 source_MSE=6237.058398 gram=0.000000 source_order_sha256=9694a6b88426d6ca65830e51ea075104b8b7b994587790e9311a50a3e13cc017 target_unique=0
source_only epoch=10/50 source_MSE=5623.240625 gram=0.000000 source_order_sha256=7c950da3a5093c62a5770637e0866c5d16d734121906f4eb33e704848df3be26 target_unique=0
source_only epoch=11/50 source_MSE=5003.008105 gram=0.000000 source_order_sha256=4cba05bc77c379eb900c7b60ba56f43181c22900189067e2e791f7825b766545 target_unique=0
source_only epoch=12/50 source_MSE=4443.878467 gram=0.000000 source_order_sha256=77d2ac0c000a842ae8d8d374584cd7a1eae83492b895c237914af8a34acf9752 target_unique=0
source_only epoch=13/50 source_MSE=3923.713672 gram=0.000000 source_order_sha256=ff0984b65c36d66b08aeb3407e12b6e7c5e8df2ad7e3576a44c666ef0b901a97 target_unique=0
source_only epoch=14/50 source_MSE=3342.936963 gram=0.000000 source_order_sha256=bfe8d8a2be0262f550bcc748c645505bce7273fc4129f6e58a29cd47b2f360d8 target_unique=0
source_only epoch=15/50 source_MSE=2836.503955 gram=0.000000 source_order_sha256=ccf25dc73854445fee3eff0c68c8e2a5ba22bdaa9393427a709526967666fc6d target_unique=0
source_only epoch=16/50 source_MSE=2354.944995 gram=0.000000 source_order_sha256=4a1bb914bc57fa90cc02cacb1af8ba55394309842d7049084e9a26227e07d596 target_unique=0
source_only epoch=17/50 source_MSE=1977.334229 gram=0.000000 source_order_sha256=a46d915f1b0146484e1e3cd9cc10f6d6f3d78a743b275bcaaa50b31264bca9cf target_unique=0
source_only epoch=18/50 source_MSE=1621.228687 gram=0.000000 source_order_sha256=38e994fecfede5c7c6f41ba8e6388ce2760c7240ffab0316fa129b9ba444fda8 target_unique=0
source_only epoch=19/50 source_MSE=1245.596094 gram=0.000000 source_order_sha256=04e599520815e51951d81d4d24e2a7875feb53a2094c3677ea93ccdf3994ac80 target_unique=0
source_only epoch=20/50 source_MSE=984.448950 gram=0.000000 source_order_sha256=de5fd97bb30894179b3cfd7cdb16b19c9f09491d3bcd4042e878f3421dc40c3d target_unique=0
